project,repository,description,last activity,selected 
gerrit,bpel/org.eclipse.bpel.git,BPEL Designer Project,10 months,0
gerrit,bpmn2-modeler/org.eclipse.bpmn2-modeler.git,This is the BPMN2 Modeler project repository.,7 weeks,0
gerrit,bpmn2/org.eclipse.bpmn2.git,MDT BPMN2 metamodel,2 months,0
gerrit,camf/org.eclipse.camf.git,Cloud Application Management Framework (CAMF) - http://www.eclipse.org/camf,14 months,0
gerrit,capra/org.eclipse.capra.git,"Unnamed repository, edit this file 'description' to name the repository.",5 days,0
gerrit,cbi/native-build-testing/eclipse.platform.releng.aggregator.git,Eclipse Platform Aggregator for native build testing,16 months,0
gerrit,cbi/native-build-testing/eclipse.platform.swt.binaries.git,Eclipse Platform SWT Binaries for native build testing,16 months,0
gerrit,cbi/native-build-testing/rt.equinox.binaries.git,Equinox launcher binaries for native build testing,11 months,0
gerrit,cbi/org.eclipse.cbi.examples.git,[no description],23 months,0
gerrit,cbi/org.eclipse.cbi.git,CBI Maven plugins and Webservices,17 hours,0
gerrit,cbi/org.eclipse.cbi.p2repo.aggregator.git,"Source and build files for CBI p2repo Aggregator (aka ""b3 aggregator"")",19 hours,0
gerrit,cbi/org.eclipse.cbi.p2repo.analyzers.git,"Source and build files for CBI p2repo Analyzers (aka ""repo reports and tests"")",5 days,0
gerrit,cbi/org.eclipse.license.git,Eclipse License Feature,18 months,0
gerrit,cdo/cdo.git,CDO,6 hours,0
gerrit,cdo/cdo.incubator.git,CDO (Incubator),3 years,0
gerrit,cdo/cdo.infrastructure.git,CDO (infrastructure),8 weeks,0
gerrit,cdo/cdo.old.git,CDO Model Repository (Old),3 years,0
gerrit,cdo/parent.git,Permissions for CDO project,3 years,0
gerrit,cdt/org.eclipse.cdt.edc.git,Old EDC debugger. (obsolete),2 years,0
gerrit,cdt/org.eclipse.cdt.git,Main CDT repo.,18 hours,0
gerrit,cdt/org.eclipse.cdt.git.150113,Mystery CDT repo.,2 years,0
